Title,Date,Creator,Description,Provider,Thumbnail,URL,Keywords,File,ID,Coverage,Format,Language,Relation,Rights,Subject,Type,Commentary
Joshua tree,,,"Negative of a photograph of Joshua trees in the desert, probably the Mojave Desert in southeastern California.",University of Utah - J. Willard Marriott Library,https://dp.la/thumb/01b52f9d758a2c81674ca126b237d02e,P1194n05_13_016,home,,tree-01,,,,,,,,
"[Dead Giant tree, Yosemite]",,,"2001-0004. View of two men and a boy in front of the tunnel through the ”Dead Giant” tree in Tuolumne Grove in Yosemite National Park. Boy sitting at left, men on either side of the tunnel opening; si…",California State Library,https://dp.la/thumb/076b005ea351565571a2574073ab4964,https://csl.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma990013804000205115&context=L&vid=01CSL_INST:CSL,home,,tree-02,,,,,,,,
"The Sentinels, Big Tree Grove.",,"Weed, Charles L","Printed title label on mount, lower center; signed in pencil on mount below lower right edge of print.","The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection. The New York Public Library",https://dp.la/thumb/08cc31aaaa9b71864f84650ebeafa056,https://digitalcollections.nypl.org/items/aaa359d0-c6c0-012f-ce7d-58d385a7bc34,home,images/tree-03.jpg,tree-03,,,,,,,,
[Men in tree],,,"Plates in: [Giers' family photograph album], pg. [38c]. 2014-5655. Theodore Gier was born in Germany in 1860 to Henry and Marie (Behrens) Gier. Emigrated to the United States in 1881, settling first i…",California State Library,https://dp.la/thumb/2315c8842fb4b89a4c7542da042c3b24,https://csl.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma990015278800205115&context=L&vid=01CSL_INST:CSL,create,,tree-04,,,,,,,,
Large Live Oak Tree,,"Brewster, John Calvin","Large live oak tree with several people and dog, with orchard in background.",Museum of Ventura County,https://dp.la/thumb/2f2999655e6356118b60b3f524d2e5c8,https://photographs.venturamuseum.org/items/show/1347,create,,tree-05,,,,,,,,
"Cork Tree, San Gabriel. 4460.",,"Watkins, Carleton E., 1829-1916","STEREO-0209 STEREO COLLECTION: LOS ANGELES CO.: SAN GABRIEL: WATKINS, # 4460 Photographer's number 4460. Orange mount; pink verso. On front: Watkins' New Series of Pacific Coast Views. View of tall co…",California State Library,https://dp.la/thumb/322a92060079348a9ac5b203a55a50d5,https://csl.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma990013803730205115&context=L&vid=01CSL_INST:CSL,connect four,images/tree-06.jpg,tree-06,,,,,,,,
Heron Tree,,"Finley, William L. (William Lovell), 1876-1953",Large sycamore tree with 160 heron nests. Great blue herons flying above.,Oregon Historical Society Research Library,https://dp.la/thumb/32f334270b12ccd4966e1cbfaea591eb,https://digitalcollections.ohs.org/heron-tree-2,,,tree-07,,,,,,,,
Historic Sycamore Tree,,Columbia Wholesale Supply Co,"Color photographic postcard showing a large sycamore tree growing in the middle of a road, at the edge of an intersection. Behind the tree, citrus groves are visible. Verso: Caption: Historic Sycamore…",Museum of Ventura County,https://dp.la/thumb/337fe70d550c2aa4fe46431d6fbd1a8f,https://photographs.venturamuseum.org/items/show/5735,,,tree-08,,,,,,,,
Fig tree with fruit,,,Photograph of a fig tree with fruit. The ground underneath is dry and crumbling.,California Historical Society,https://dp.la/thumb/379214ebe1ba8677156a084d066fd6a1,http://doi.org/10.25549/chs-m10077,home,,tree-09,,,,,,,,
Illuminated Christmas tree on campus,,,A tree on the San Jose State College campus is decorated with lights and ornaments. Scanned with Microtek Scanmaker 1000XL Pro; as a 600 dpi TIFF image in 8-bit Grayscale. Auto Level image processing…,"San José State University, Special Collections and Archives",https://dp.la/thumb/385fc7689b9713960182d557797daa9a,https://digitalcollections.sjsu.edu/islandora/object/islandora%3A78_1386,,,tree-10,,,,,,,,
